sample,grain,repetition,band_410,band_435,band_460,band_485,band_510,band_535,band_560,band_585,band_610,band_645,band_680,band_705,band_730,band_760,band_810,band_860,band_900,band_940
1,soja,1,0.32947,0.181629,0.236831,0.747495,0.353891,0.430511,0.36383,0.425694,0.520243,0.466258,0.6,0.554455,0.657371,0.639535,0.55,0.591912,0.675676,0.730769
1,soja,2,0.336093,0.184224,0.237852,0,0.35803,0.428725,0.37234,0.433295,0.532389,0.472393,0.586486,0.564356,0.677291,0.639535,0.56,0.588235,0.702703,0.730769
1,soja,3,0.336093,0.184224,0.238873,0,0.364238,0.439443,0.391489,0.458001,0.548583,0.503067,0.6,0.564356,0.677291,0.668605,0.56,0.613971,0.702703,0.730769
2,soja,1,0.334664,0.183078,0.240879,0.497752,0.352773,0.428167,0.372294,0.439539,0.520243,0.501548,0.59618,0.56,0.642023,0.628571,0.561225,0.60698,0.675,0.730769
2,soja,2,0.334664,0.183078,0.242895,0.500963,0.352773,0.428167,0.378788,0.445298,0.526316,0.495356,0.603001,0.56,0.661479,0.628571,0.561225,0.625948,0.675,0.730769
2,soja,3,0.337734,0.183078,0.240879,0.497752,0.352773,0.426398,0.383117,0.443378,0.524292,0.489164,0.603001,0.57,0.661479,0.628571,0.571429,0.622155,0.675,0.730769
3,soja,1,0.333129,0.183078,0.236847,0,0.352773,0.426398,0.350649,0.422265,0.502024,0.489164,0.575716,0.53,0.642023,0.628571,0.520408,0.591806,0.675,0.730769
3,soja,2,0.337734,0.183078,0.23584,0.507386,0.354812,0.424628,0.365801,0.443378,0.512146,0.495356,0.582538,0.55,0.642023,0.628571,0.540816,0.588012,0.675,0.730769
3,soja,3,0.336199,0.185552,0.237855,0,0.358891,0.431706,0.383117,0.431862,0.532389,0.473684,0.582538,0.57,0.680934,0.657143,0.561225,0.599393,0.7,0.730769
4,soja,1,0.330058,0.180604,0.239871,0.500963,0.354812,0.429936,0.419913,0.46833,0.558704,0.501548,0.616644,0.59,0.661479,0.628571,0.591837,0.652504,0.7,0.730769
4,soja,2,0.334664,0.185552,0.246926,0,0.362969,0.437013,0.404762,0.456814,0.55668,0.50774,0.616644,0.6,0.680934,0.657143,0.602041,0.667678,0.7,0.730769
4,soja,1,0.335318,0.184437,0.242629,0.368648,0.350554,0.427198,0.387931,0.438697,0.526316,0.493827,0.611111,0.574257,0.647059,0.628571,0.581633,0.641791,0.668317,0.730769
1,grao_de_bico,1,0.347729,0.185836,0.234406,0.769598,0.337838,0.405838,0.35443,0.421093,0.523046,0.497835,0.631001,0.587649,0.686275,0.689655,0.571142,0.635276,0.710526,0.730769
1,grao_de_bico,2,0.346142,0.183325,0.230382,0,0.33579,0.404058,0.379747,0.445751,0.537074,0.522573,0.63786,0.60757,0.705882,0.689655,0.601202,0.68012,0.710526,0.730769
1,grao_de_bico,3,0.349317,0.183325,0.230382,0.764818,0.337838,0.402278,0.394515,0.451442,0.55511,0.50402,0.665295,0.62749,0.705882,0.689655,0.621242,0.702541,0.710526,0.730769
2,grao_de_bico,1,0.339776,0.186304,0.238727,0.355459,0.322844,0.384342,0.35745,0.422401,0.52504,0.498461,0.62888,0.588235,0.683594,0.657143,0.585859,0.70632,0.682927,0.730769
2,grao_de_bico,2,0.349127,0.186304,0.237707,0,0.324888,0.380783,0.327304,0.389908,0.488691,0.489231,0.622132,0.568627,0.683594,0.657143,0.565657,0.669145,0.682927,0.730769
